Total protein number combining all batches: 8864
  In any 2 batche(s): 8837
  In any 1 batche(s): 27
Batch-specific protein numbers:
  batch1: 15
  batch2: 12

Protein Group#	Protein Accession #	Protein Description	GN	GPCRs	TFs	epigenetic_regularos	kinases	oncogenes	batch1	PSM#	Total Peptide#	Unique Peptide#	%Coverage	sig126_B1	sig127N_B1	sig128N_B1	sig128C_B1	sig129C_B1	sig130N_B1	sig131C_B1	sig132C_B1	sig134N_B1	batch2	PSM#	Total Peptide#	Unique Peptide#	%Coverage	sig127C_B2	sig129N_B2	sig130C_B2	sig131N_B2	sig132N_B2	sig133N_B2	sig133C_B2	sig134C_B2	sig135N_B2
SJPG0108308.001	sp|Q8N9U0|TAC2N_HUMAN	Tandem C2 domains nuclear protein OS=Homo sapiens OX=9606 GN=TC2N PE=1 SV=2	TC2N	-	-	-	-	-	batch1	6	3	0	8.37	74813.01	40811.72	49339.89	40797.44	47663.75	43983.52	51809.14	41726.29	47786.88	batch2	6	3	0	8.37	59993.17	55900.90	57852.31	37181.02	52173.46	41628.76	47363.92	44470.29	40334.16
SJPG0101635.001	sp|Q96PE3|INP4A_HUMAN	Inositol polyphosphate-4-phosphatase type I A OS=Homo sapiens OX=9606 GN=INPP4A PE=1 SV=1	INPP4A	-	-	-	-	-	batch1	1	1	0	0.82	54074.49	31433.73	44866.71	26879.47	34300.79	31793.30	44230.27	31416.69	34849.16	batch2	1	1	0	0.82	47834.62	38747.08	36468.96	26786.25	38189.11	31329.69	48025.60	30553.27	34056.72
SJPG0102387.001	sp|Q5T9A4|ATD3B_HUMAN	ATPase family AAA domain-containing protein 3B OS=Homo sapiens OX=9606 GN=ATAD3B PE=1 SV=1	ATAD3B	-	-	-	-	-	batch1	565	37	0	45.06	2583977.99	1439105.50	1749480.88	1240482.38	1515389.41	1488295.10	1877992.70	1433755.71	1668286.46	batch2	565	37	0	45.06	1857561.13	1755004.32	1895398.71	1412699.68	1892070.41	1415840.45	1713545.17	1628984.75	1252559.34
SJPG0107260.001	sp|Q8N3D4|EH1L1_HUMAN	EH domain-binding protein 1-like protein 1 OS=Homo sapiens OX=9606 GN=EHBP1L1 PE=1 SV=2	EHBP1L1	-	-	-	-	-	batch1	15	11	3	9	74629.25	38985.11	50494.56	36570.75	47965.18	42313.79	49685.75	39257.35	45794.41	batch2	15	11	3	9	54406.68	58546.53	51797.87	37178.78	51508.19	37372.12	50810.52	41472.63	39143.54
SJPG0107096.001	sp|Q4VC05|BCL7A_HUMAN	B-cell CLL/lymphoma 7 protein family member A OS=Homo sapiens OX=9606 GN=BCL7A PE=1 SV=1	BCL7A	-	-	O	-	-	batch1	14	4	0	16.67	179575.22	103849.73	116949.52	82031.16	105667.54	105423.74	116963.19	96539.75	112968.33	batch2	14	4	0	16.67	126587.42	125925.28	128211.23	98362.13	127465.45	98953.63	112343.20	103918.85	85881.26
SJPG0105402.001	sp|Q9UI30|TR112_HUMAN	Multifunctional methyltransferase subunit TRM112-like protein OS=Homo sapiens OX=9606 GN=TRMT112 PE=1 SV=1	TRMT112	-	-	-	-	-	batch1	42	5	0	49.6	318261.82	174413.56	204585.41	153048.06	183697.09	172653.14	216002.17	158671.69	178161.72	batch2	42	5	0	49.6	234689.76	222687.78	233055.17	138110.05	251112.67	143421.07	229050.29	165198.52	146832.73
SJPG0109914.001	sp|Q8N448|LNX2_HUMAN	Ligand of Numb protein X 2 OS=Homo sapiens OX=9606 GN=LNX2 PE=1 SV=1	LNX2	-	-	-	-	-	batch1	2	2	2	3.19	66316.33	45784.26	40181.29	33407.38	39888.08	38022.59	43277.93	34743.42	40691.16	batch2	2	2	2	3.19	46045.66	44898.41	48826.07	33942.05	51169.16	36627.18	40806.29	40885.21	35303.08
SJPG0102879.001	sp|Q8N1F7|NUP93_HUMAN	Nuclear pore complex protein Nup93 OS=Homo sapiens OX=9606 GN=NUP93 PE=1 SV=2	NUP93	-	-	-	-	-	batch1	456	47	0	53.36	1129602.92	611016.60	746407.50	544166.95	689960.11	644320.76	795000.59	611370.18	703402.95	batch2	456	47	0	53.36	820458.40	781529.55	824575.35	610632.44	790612.71	613255.06	737806.65	677342.24	544654.54
SJPG0103096.001	sp|P78368|KC1G2_HUMAN	Casein kinase I isoform gamma-2 OS=Homo sapiens OX=9606 GN=CSNK1G2 PE=1 SV=1	CSNK1G2	-	-	-	O	-	batch1	55	9	0	17.59	207493.64	115403.73	135421.75	100941.04	118559.74	120754.86	148692.53	115714.04	130157.75	batch2	55	9	0	17.59	153934.72	140755.05	153683.19	112369.60	152965.10	109091.18	137430.16	123194.41	99274.35
SJPG0112739.001	sp|Q9NWW5|CLN6_HUMAN	Ceroid-lipofuscinosis neuronal protein 6 OS=Homo sapiens OX=9606 GN=CLN6 PE=1 SV=1	CLN6	-	-	-	-	-	batch1	2	2	0	10.29	20427.37	17908.41	16575.73	13239.22	16127.78	13890.69	17959.01	12833.27	16838.78	batch2	2	2	0	10.29	15383.01	19198.30	17708.51	12788.51	20703.84	14781.63	12525.48	14223.87	19139.99
SJPG0102579.001	sp|O43752|STX6_HUMAN	Syntaxin-6 OS=Homo sapiens OX=9606 GN=STX6 PE=1 SV=1	STX6	-	-	-	-	-	batch1	21	6	6	21.18	123553.60	75667.55	82965.56	67812.88	75522.20	75287.41	95860.18	73421.81	84970.09	batch2	21	6	6	21.18	101047.77	88254.39	102374.35	70571.64	94903.24	69880.47	90368.36	77575.49	59708.95
SJPG0101034.001	sp|P45880|VDAC2_HUMAN	Voltage-dependent anion-selective channel protein 2 OS=Homo sapiens OX=9606 GN=VDAC2 PE=1 SV=2	VDAC2	-	-	-	-	-	batch1	602	13	0	55.44	7688490.14	4240651.24	4941716.42	3448169.96	4248915.70	4183332.79	5314847.00	3914620.00	4750436.91	batch2	602	13	0	55.44	5539740.79	4884661.00	5472487.17	4107660.01	5599520.93	3989675.95	4783513.12	4579405.11	3278739.57
SJPG0108986.001	sp|Q6ZTQ4|CDHR3_HUMAN	Cadherin-related family member 3 OS=Homo sapiens OX=9606 GN=CDHR3 PE=1 SV=1	CDHR3	-	-	-	-	-	batch1	1	1	1	1.24	45626.19	25007.51	33452.09	19676.43	24178.81	21296.54	35950.90	23628.06	28044.95	batch2	1	1	1	1.24	39896.51	36534.83	30911.66	22554.64	28024.84	26864.23	28915.41	19706.09	21132.12
SJPG0116811.001	tr|A0A090N8Y9|A0A090N8Y9_HUMAN	Similar to RP9 protein OS=Homo sapiens OX=9606 GN=LOC392652 PE=4 SV=1	LOC392652	-	-	-	-	-	batch1	8	2	0	4.73	112467.31	68208.43	74503.34	56781.76	65351.86	65310.15	78853.83	63451.61	71297.93	batch2	8	2	0	4.73	80418.81	75463.52	85532.72	54799.48	97283.63	57542.98	83311.84	63086.35	59040.81
SJPG0112219.001	sp|Q8IYE0|CC146_HUMAN	Coiled-coil domain-containing protein 146 OS=Homo sapiens OX=9606 GN=CCDC146 PE=1 SV=2	CCDC146	-	-	-	-	-	batch1	3	1	0	0.73	283154.05	152015.28	175085.84	130606.29	134704.77	132554.12	203085.29	139467.14	161063.23	batch2	3	1	0	0.73	186532.43	169849.71	215988.57	151693.07	197060.16	140032.84	178581.77	147698.88	106118.08
SJPG0105998.001	sp|Q8WUM9|S20A1_HUMAN	Sodium-dependent phosphate transporter 1 OS=Homo sapiens OX=9606 GN=SLC20A1 PE=1 SV=1	SLC20A1	-	-	-	-	-	batch1	8	2	1	4.42	19517.60	12384.47	12605.02	10456.36	10783.69	11924.13	13204.34	11948.86	10786.94	batch2	8	2	1	4.42	13855.40	13358.04	15632.78	13817.79	13321.04	10680.24	14445.71	10818.43	7843.41
SJPG0100226.001	sp|Q9H7D7|WDR26_HUMAN	WD repeat-containing protein 26 OS=Homo sapiens OX=9606 GN=WDR26 PE=1 SV=3	WDR26	-	-	-	-	-	batch1	24	9	0	14.52	97444.24	58186.02	65672.40	49064.46	56781.99	53995.91	73433.73	52303.10	60037.20	batch2	24	9	0	14.52	69482.56	70271.17	72471.91	48802.33	75567.35	52753.87	71288.35	55499.09	47422.40
SJPG0105171.001	sp|A5YKK6|CNOT1_HUMAN	CCR4-NOT transcription complex subunit 1 OS=Homo sapiens OX=9606 GN=CNOT1 PE=1 SV=2	CNOT1	-	-	-	-	-	batch1	199	47	0	21.3	474974.81	267069.58	315897.66	243405.77	283016.55	262637.88	343500.17	263537.64	285541.39	batch2	199	47	0	21.3	359363.06	333167.79	355493.60	237078.12	363181.75	245763.86	339158.04	260540.40	235473.07
SJPG0108864.001	sp|Q9BXS4|TMM59_HUMAN	Transmembrane protein 59 OS=Homo sapiens OX=9606 GN=TMEM59 PE=1 SV=1	TMEM59	-	-	-	-	-	batch1	41	6	0	24.77	164769.67	103515.02	109801.64	82239.62	93082.81	98487.19	126671.20	95262.67	110876.86	batch2	41	6	0	24.77	142960.22	126372.24	127395.47	93572.04	116305.78	96683.72	107761.52	88794.39	81524.93
SJPG0100607.001	sp|Q96DA6|TIM14_HUMAN	Mitochondrial import inner membrane translocase subunit TIM14 OS=Homo sapiens OX=9606 GN=DNAJC19 PE=1 SV=3	DNAJC19	-	-	-	-	-	batch1	90	9	0	56.03	659537.93	357075.74	424716.64	309875.44	382034.30	366538.83	462325.65	352286.69	394367.22	batch2	90	9	0	56.03	469181.66	442299.13	462698.97	347927.55	454543.25	348452.62	422297.29	398627.72	312971.45
SJPG0103772.001	sp|P31749|AKT1_HUMAN	RAC-alpha serine/threonine-protein kinase OS=Homo sapiens OX=9606 GN=AKT1 PE=1 SV=2	AKT1	-	-	-	O	O	batch1	33	11	0	26.04	203537.14	142968.80	149430.24	118554.85	111532.96	130105.80	163505.79	123031.43	115752.37	batch2	33	11	0	26.04	159749.29	157341.58	155736.83	109692.12	163602.17	111671.74	158022.16	114388.42	122840.10
SJPG0104780.001	sp|O75064|DEN4B_HUMAN	DENN domain-containing protein 4B OS=Homo sapiens OX=9606 GN=DENND4B PE=1 SV=4	DENND4B	-	-	-	-	-	batch1	1	1	0	0.53	105035.24	75339.90	68659.85	51923.88	46197.83	51934.27	88915.06	59644.70	68183.14	batch2	1	1	0	0.53	81113.80	64005.96	87360.29	61504.22	79081.15	65069.18	62287.94	47893.52	57156.64
SJPG0101441.001	sp|P50570|DYN2_HUMAN	Dynamin-2 OS=Homo sapiens OX=9606 GN=DNM2 PE=1 SV=2	DNM2	-	-	-	-	-	batch1	193	29	0	30.69	612178.26	341299.02	404498.53	313398.23	355100.90	347203.85	434313.12	336286.47	356540.98	batch2	193	29	0	30.69	439373.99	434043.11	452231.44	300633.26	456087.26	306794.79	447794.43	327304.65	319810.52
SJPG0100510.001	sp|Q9Y3A5|SBDS_HUMAN	Ribosome maturation protein SBDS OS=Homo sapiens OX=9606 GN=SBDS PE=1 SV=4	SBDS	-	-	-	-	O	batch1	158	15	13	54	1026367.17	581418.18	687395.95	533138.79	601802.53	590073.79	732866.21	565053.12	617943.07	batch2	158	15	13	54	764004.27	716593.04	784586.39	490612.23	845434.58	521734.40	737235.56	558281.03	519427.86
SJPG0106077.001	sp|P51532|SMCA4_HUMAN	Transcription activator BRG1 OS=Homo sapiens OX=9606 GN=SMARCA4 PE=1 SV=2	SMARCA4	-	-	O	-	O	batch1	240	39	0	24.04	772173.79	427163.63	511079.71	377023.15	455953.83	438108.18	550893.05	429245.87	495589.63	batch2	240	39	0	24.04	556524.72	514963.40	560697.16	418216.92	559569.18	417611.01	534573.85	462793.51	382959.07
SJPG0109395.003	tr|F5GX28|F5GX28_HUMAN	[Histone H3]-trimethyl-L-lysine(9) demethylase OS=Homo sapiens OX=9606 GN=KDM4B PE=1 SV=2	KDM4B	-	-	-	-	-	batch1	7	5	0	6.81	43370.89	21336.12	26318.92	18045.43	23290.90	20695.30	28070.09	22613.11	23721.30	batch2	7	5	0	6.81	27705.90	29281.33	27092.38	20496.21	29670.50	20766.99	27374.14	23448.30	17902.59
SJPG0102062.001	sp|Q9BY77|PDIP3_HUMAN	Polymerase delta-interacting protein 3 OS=Homo sapiens OX=9606 GN=POLDIP3 PE=1 SV=2	POLDIP3	-	-	-	-	-	batch1	123	19	1	48.69	375575.37	219584.87	250734.85	185997.46	216301.72	220790.74	271039.90	207865.78	235605.30	batch2	123	19	1	48.69	290108.18	265663.29	289258.57	201201.68	275210.02	207859.20	257036.53	208660.45	177168.10
SJPG0145219.011	cu|LOC649330_I204V|snp	LOC649330|uc009vno.2|I204V|chr1:12907533-12907533.T_C	NA	-	-	-	-	-	batch1	201	5	1	37.7	14934827.14	7806409.57	9821659.28	6927041.90	8843261.38	8409682.22	10405848.93	8014126.97	9454396.05	batch2	201	5	1	37.7	10549441.44	10328822.61	10798055.45	8217741.94	10192426.33	8097977.47	9486220.61	9089300.47	6759080.56
SJPG0101910.001	sp|Q03154|ACY1_HUMAN	Aminoacylase-1 OS=Homo sapiens OX=9606 GN=ACY1 PE=1 SV=1	ACY1	-	-	-	-	-	batch1	62	13	0	35.29	431289.58	242391.88	288038.89	226494.16	256652.42	247610.15	308881.75	236238.06	253333.38	batch2	62	13	0	35.29	303788.98	310299.53	331489.01	209824.72	332985.88	213637.40	313974.31	244598.65	223672.88
SJPG0103967.001	sp|O15121|DEGS1_HUMAN	Sphingolipid delta(4)-desaturase DES1 OS=Homo sapiens OX=9606 GN=DEGS1 PE=1 SV=1	DEGS1	-	-	-	-	-	batch1	10	3	3	13	65273.73	48625.25	49426.49	30078.40	35413.04	41006.02	51496.08	38229.01	49249.60	batch2	10	3	3	13	58608.95	49077.44	54882.14	37562.11	63940.66	37944.28	47019.42	32977.79	29781.49
SJPG0107346.001	sp|P56182|RRP1_HUMAN	Ribosomal RNA processing protein 1 homolog A OS=Homo sapiens OX=9606 GN=RRP1 PE=1 SV=1	RRP1	-	-	-	-	-	batch1	146	15	14	36.66	1498442.64	809844.21	968686.56	708576.46	845926.59	828621.80	1041827.60	784521.50	933950.68	batch2	146	15	14	36.66	1062205.00	969121.36	1062161.24	813406.10	1058091.25	798423.99	941341.43	883243.04	713438.93
SJPG0109448.001	sp|Q9BTC0|DIDO1_HUMAN	Death-inducer obliterator 1 OS=Homo sapiens OX=9606 GN=DIDO1 PE=1 SV=5	DIDO1	-	-	-	-	-	batch1	172	57	19	34.24	388690.50	216457.08	255043.09	187326.69	223719.02	217192.22	270640.28	207454.23	236938.93	batch2	172	57	19	34.24	292992.68	266748.91	277605.64	205755.30	265118.85	209740.71	247632.22	222123.13	190293.60
SJPG0113407.001	tr|Q68D80|Q68D80_HUMAN	"alpha-1,2-Mannosidase OS=Homo sapiens OX=9606 GN=DKFZp686C04126 PE=2 SV=1"	DKFZp686C04126	-	-	-	-	-	batch1	15	6	1	9.64	127704.74	72001.59	86671.91	63250.84	74902.23	73230.07	93172.72	68953.01	81042.02	batch2	15	6	1	9.64	99747.94	90076.53	93319.11	70351.55	97317.52	67803.71	83589.86	71213.67	62131.08
SJPG0107645.001	sp|O75179|ANR17_HUMAN	Ankyrin repeat domain-containing protein 17 OS=Homo sapiens OX=9606 GN=ANKRD17 PE=1 SV=3	ANKRD17	-	-	-	-	-	batch1	36	19	0	9.1	180649.25	99871.59	120615.19	88443.50	102613.34	99906.23	122558.87	96850.81	101031.79	batch2	36	19	0	9.1	130485.45	128750.55	129380.24	88508.02	135268.24	91649.65	122517.56	92772.19	87285.87
SJPG0101315.001	sp|O94905|ERLN2_HUMAN	Erlin-2 OS=Homo sapiens OX=9606 GN=ERLIN2 PE=1 SV=1	ERLIN2	-	-	-	-	-	batch1	331	22	10	55.46	2505285.19	1369881.23	1655771.76	1158029.16	1498040.53	1411340.74	1724948.89	1337941.13	1549669.98	batch2	331	22	10	55.46	1860789.59	1759840.32	1788176.68	1370501.95	1726897.17	1357808.62	1571843.66	1466627.30	1147025.79
SJPG0104092.003	sp|Q93100-3|KPBB_HUMAN	Isoform 3 of Phosphorylase b kinase regulatory subunit beta OS=Homo sapiens OX=9606 GN=PHKB	PHKB	-	-	-	-	-	batch1	25	13	0	13.17	216936.12	122187.22	139024.12	105600.17	120095.72	112238.04	152349.14	108681.84	121926.45	batch2	25	13	0	13.17	168950.66	150058.17	156456.85	104307.51	149750.66	106426.44	138068.89	112218.87	103649.03
SJPG0108649.001	sp|Q7Z736|PKHH3_HUMAN	Pleckstrin homology domain-containing family H member 3 OS=Homo sapiens OX=9606 GN=PLEKHH3 PE=1 SV=2	PLEKHH3	-	-	-	-	-	batch1	3	2	0	3.4	15458.19	9697.47	10186.62	5373.74	8328.77	10702.06	12404.39	8135.42	8469.75	batch2	3	2	0	3.4	17727.84	16066.20	7827.50	3653.21	18060.20	4462.04	8163.24	15675.50	7443.74
SJPG0106899.001	sp|O75191|XYLB_HUMAN	Xylulose kinase OS=Homo sapiens OX=9606 GN=XYLB PE=1 SV=3	XYLB	-	-	-	-	-	batch1	2	2	0	4.1	35550.40	18412.45	20707.04	17510.88	25948.76	21840.31	21960.00	21229.70	25772.19	batch2	2	2	0	4.1	25173.46	29995.64	23104.61	20317.86	28416.11	13246.76	28717.81	21789.16	19357.14
SJPG0105231.001	sp|O95479|G6PE_HUMAN	GDH/6PGL endoplasmic bifunctional protein OS=Homo sapiens OX=9606 GN=H6PD PE=1 SV=2	H6PD	-	-	-	-	-	batch1	99	21	0	29.33	291696.51	172482.47	200837.07	157211.02	179225.90	177884.78	239319.03	185766.97	209684.70	batch2	99	21	0	29.33	221636.90	209611.46	224859.81	173911.03	232926.93	174794.26	208207.85	193325.10	158572.11
SJPG0107631.001	sp|P20585|MSH3_HUMAN	DNA mismatch repair protein Msh3 OS=Homo sapiens OX=9606 GN=MSH3 PE=1 SV=4	MSH3	-	-	-	-	-	batch1	7	6	1	5.8	57254.40	31348.07	40007.92	34199.19	35177.55	33750.35	42489.00	34598.56	34609.30	batch2	7	6	1	5.8	41637.32	39254.28	42592.08	29598.41	51200.09	29763.91	46868.37	31983.17	31515.45
SJPG0102047.001	sp|Q9UJY5|GGA1_HUMAN	ADP-ribosylation factor-binding protein GGA1 OS=Homo sapiens OX=9606 GN=GGA1 PE=1 SV=1	GGA1	-	-	-	-	-	batch1	16	5	0	8.14	150607.80	84886.02	95558.66	83818.68	89978.32	85882.75	107395.37	90723.76	91508.52	batch2	16	5	0	8.14	112528.03	111153.14	113913.91	75548.56	120479.21	73392.31	112809.25	82304.09	79834.81
SJPG0104561.001	sp|Q96HY6|DDRGK_HUMAN	DDRGK domain-containing protein 1 OS=Homo sapiens OX=9606 GN=DDRGK1 PE=1 SV=2	DDRGK1	-	-	-	-	-	batch1	49	12	3	31.85	671202.34	384961.53	447224.17	317892.84	360332.20	373761.39	480066.66	348337.78	423248.33	batch2	49	12	3	31.85	450978.43	413430.80	466435.14	371699.29	479355.86	373258.71	429850.48	415463.37	339009.57
SJPG0110583.001	sp|Q8WWK9|CKAP2_HUMAN	Cytoskeleton-associated protein 2 OS=Homo sapiens OX=9606 GN=CKAP2 PE=1 SV=1	CKAP2	-	-	-	-	-	batch1	5	4	0	7.32	66588.01	32581.85	38801.64	32501.13	33967.29	37081.66	45893.50	32457.23	35982.02	batch2	5	4	0	7.32	55325.19	42848.29	43221.25	39261.17	33492.47	28815.71	37577.35	38538.48	32852.93
SJPG0102627.001	sp|Q9Y6R0|NUMBL_HUMAN	Numb-like protein OS=Homo sapiens OX=9606 GN=NUMBL PE=1 SV=1	NUMBL	-	-	-	-	-	batch1	9	2	0	3.78	124834.64	69551.36	80190.44	57960.71	70805.22	65794.88	88430.32	66744.23	74296.77	batch2	9	2	0	3.78	98493.98	84275.43	90116.08	60780.17	90363.03	63958.70	79456.73	67685.32	58337.64
SJPG0109009.001	sp|Q9BW71|HIRP3_HUMAN	HIRA-interacting protein 3 OS=Homo sapiens OX=9606 GN=HIRIP3 PE=1 SV=3	HIRIP3	-	-	O	-	-	batch1	17	10	3	22.66	108566.78	64858.88	77661.13	57504.06	68420.38	69726.28	76061.08	61859.33	64869.16	batch2	17	10	3	22.66	77121.25	79691.22	83055.74	57709.95	92317.34	60679.62	75299.69	61218.19	60193.82
SJPG0114024.001	sp|P41162|ETV3_HUMAN	ETS translocation variant 3 OS=Homo sapiens OX=9606 GN=ETV3 PE=1 SV=2	ETV3	-	-	-	-	-	batch1	1	1	1	2.54	18146.15	17016.67	13886.96	13252.51	11858.77	15531.79	15975.32	13737.67	16045.05	batch2	1	1	1	2.54	20652.34	15686.81	16459.60	13953.85	19873.36	9714.62	14712.62	11964.56	14575.68
SJPG0102676.001	sp|O14773|TPP1_HUMAN	Tripeptidyl-peptidase 1 OS=Homo sapiens OX=9606 GN=TPP1 PE=1 SV=2	TPP1	-	-	-	-	-	batch1	59	9	0	17.94	298318.16	173248.89	201155.57	145048.33	182275.05	177408.54	219148.47	163238.99	182433.05	batch2	59	9	0	17.94	220114.55	207097.51	216787.30	162956.91	218201.38	162694.82	195553.61	180854.94	157400.06
SJPG0109890.001	sp|Q6NXR4|TTI2_HUMAN	TELO2-interacting protein 2 OS=Homo sapiens OX=9606 GN=TTI2 PE=1 SV=1	TTI2	-	-	-	-	-	batch1	1	1	0	2.56	28259.27	9460.99	22511.42	20438.99	22718.68	19529.30	17864.73	16715.65	21380.02	batch2	1	1	0	2.56	15556.83	22054.53	25837.09	19179.72	23990.08	17380.79	22779.40	14090.14	15314.18
SJPG0149347.001	cu|NOP56_M475T|snp	NOP56|uc002wgh.3|M475T|chr20:2638579-2638579.T_C	NA	-	-	-	-	-	batch1	22	3	3	80.31	93849.86	47129.00	64184.74	43946.24	59326.96	53921.56	60155.24	49007.03	55105.31	batch2	22	3	3	80.31	81645.11	81018.89	76708.98	52919.79	45468.53	43933.27	55858.53	53381.26	40537.02
SJPG0114746.001	sp|Q06547|GABP1_HUMAN	GA-binding protein subunit beta-1 OS=Homo sapiens OX=9606 GN=GABPB1 PE=1 SV=2	GABPB1	-	O	-	-	-	batch1	4	2	0	4.3	96321.94	59521.38	65201.20	50920.06	65398.92	56829.78	77243.49	53099.77	51617.15	batch2	4	2	0	4.3	73751.24	69699.25	75431.81	50602.08	73918.32	51310.30	67076.83	50376.40	59560.88
SJPG0101889.001	sp|Q9UBQ0|VPS29_HUMAN	Vacuolar protein sorting-associated protein 29 OS=Homo sapiens OX=9606 GN=VPS29 PE=1 SV=1	VPS29	-	-	-	-	-	batch1	176	8	0	40.66	935988.71	531146.28	620276.40	468034.41	556669.96	514394.12	669287.07	513237.70	553744.61	batch2	176	8	0	40.66	708198.59	676182.58	707424.75	436709.81	736083.02	466687.57	661411.64	500410.36	467346.17
SJPG0104071.001	sp|Q99735|MGST2_HUMAN	Microsomal glutathione S-transferase 2 OS=Homo sapiens OX=9606 GN=MGST2 PE=1 SV=1	MGST2	-	-	-	-	-	batch1	48	2	0	10.88	756222.36	416873.26	536333.13	402068.06	475769.07	478429.16	567909.62	424547.96	526950.18	batch2	48	2	0	10.88	561061.20	519809.42	560232.76	449348.68	610855.93	426235.68	552549.63	471350.87	394881.32
SJPG0107786.001	sp|Q96S97|MYADM_HUMAN	Myeloid-associated differentiation marker OS=Homo sapiens OX=9606 GN=MYADM PE=1 SV=2	MYADM	-	-	-	-	-	batch1	10	3	0	10.25	66011.33	34188.91	41477.22	29005.17	39698.72	36260.72	39825.18	36770.58	37023.97	batch2	10	3	0	10.25	62086.44	53252.61	44909.49	33577.09	38057.10	42430.24	41346.36	34010.26	18718.27
SJPG0103521.001	sp|Q92667|AKAP1_HUMAN	"A-kinase anchor protein 1, mitochondrial OS=Homo sapiens OX=9606 GN=AKAP1 PE=1 SV=1"	AKAP1	-	-	-	-	-	batch1	346	38	0	46.4	606068.14	354001.54	400890.01	312599.42	354917.43	355051.12	451346.68	347301.63	405905.75	batch2	346	38	0	46.4	440383.42	407944.95	456168.06	343896.93	462222.92	342788.34	414546.40	383857.17	303385.27
SJPG0101022.001	sp|Q86UP2|KTN1_HUMAN	Kinectin OS=Homo sapiens OX=9606 GN=KTN1 PE=1 SV=1	KTN1	-	-	-	-	-	batch1	854	98	3	63.37	1213584.05	697184.39	797414.67	568971.38	733216.54	694643.12	844307.37	652831.38	769381.24	batch2	854	98	3	63.37	875434.54	821957.24	879082.41	668043.26	866279.77	667069.25	772397.92	748802.64	587062.98
SJPG0103770.001	sp|P40222|TXLNA_HUMAN	Alpha-taxilin OS=Homo sapiens OX=9606 GN=TXLNA PE=1 SV=3	TXLNA	-	-	-	-	-	batch1	121	25	25	50.37	296468.12	168761.41	201860.75	150778.70	180374.60	162537.35	204723.95	158082.31	170097.22	batch2	121	25	25	50.37	219570.63	210719.61	217017.36	146818.40	219626.10	151818.88	205354.91	159524.81	152624.23
SJPG0111671.010	tr|H0YIV6|H0YIV6_HUMAN	Transcription factor IIIB 90 kDa subunit (Fragment) OS=Homo sapiens OX=9606 GN=BRF1 PE=1 SV=1	BRF1	-	-	-	-	-	batch1	2	2	0	15.13	29962.76	11323.07	15430.42	12624.96	11470.21	13916.09	22256.87	12869.28	14570.84	batch2	2	2	0	15.13	24128.67	13103.81	19715.84	11393.04	17761.61	13235.73	20297.04	13867.51	9369.10
SJPG0101304.001	sp|Q96HN2|SAHH3_HUMAN	Adenosylhomocysteinase 3 OS=Homo sapiens OX=9606 GN=AHCYL2 PE=1 SV=1	AHCYL2	-	-	-	-	-	batch1	55	16	0	22.42	309639.33	175462.46	206716.61	156286.11	180315.04	174291.50	216232.65	165730.69	184014.64	batch2	55	16	0	22.42	215226.99	218300.17	222219.78	156413.95	226335.02	160724.83	213835.98	182064.61	157279.01
SJPG0107637.001	sp|Q02413|DSG1_HUMAN	Desmoglein-1 OS=Homo sapiens OX=9606 GN=DSG1 PE=1 SV=2	DSG1	-	-	-	-	-	batch1	12	6	4	8.2	90629.42	77302.26	72098.70	57963.16	66216.44	75263.27	76517.86	82264.17	91021.73	batch2	12	6	4	8.2	69935.02	66788.41	64108.48	238856.40	76628.80	62625.74	67691.87	53660.66	67053.72
SJPG0110870.001	sp|Q96PN6|ADCYA_HUMAN	Adenylate cyclase type 10 OS=Homo sapiens OX=9606 GN=ADCY10 PE=1 SV=3	ADCY10	-	-	-	-	-	batch1	1	1	0	0.68	204552.07	106638.22	121407.46	94234.29	74667.06	81156.33	140529.05	95154.79	107188.74	batch2	1	1	0	0.68	148770.72	122348.49	142689.97	88634.85	165395.47	83163.13	126488.09	73781.49	73350.47
SJPG0110687.001	sp|P25205|MCM3_HUMAN	DNA replication licensing factor MCM3 OS=Homo sapiens OX=9606 GN=MCM3 PE=1 SV=3	MCM3	-	-	-	-	-	batch1	234	48	0	60.64	783206.99	442154.34	518636.47	388311.99	458533.12	440812.24	538051.98	408318.64	434061.41	batch2	234	48	0	60.64	595885.41	553470.11	573819.91	365095.41	587373.94	391363.34	543764.05	384552.36	404756.26
SJPG0102629.001	sp|Q9NZ52|GGA3_HUMAN	ADP-ribosylation factor-binding protein GGA3 OS=Homo sapiens OX=9606 GN=GGA3 PE=1 SV=1	GGA3	-	-	-	-	-	batch1	13	4	0	7.05	63684.28	38052.24	41679.98	35126.68	38434.22	36557.87	45523.95	39073.94	38570.14	batch2	13	4	0	7.05	46630.43	46144.90	49789.28	35840.07	51191.45	30178.15	50692.84	34304.68	33156.32
SJPG0105771.001	sp|O94915|FRYL_HUMAN	Protein furry homolog-like OS=Homo sapiens OX=9606 GN=FRYL PE=1 SV=2	FRYL	-	-	-	-	-	batch1	4	2	2	0.76	44767.98	25110.53	29421.70	22845.70	28378.10	21935.02	31495.51	24545.67	26578.95	batch2	4	2	2	0.76	38716.67	29994.44	32349.60	21449.51	30779.19	21495.60	30564.36	25958.21	22848.43
