ProteinAccession,GeneName,ProteinDescription,Group1_1,Group1_2,Group1_3,Group1_4,Group2_1,Group2_2,Group2_3,Group2_4,Group3_1,Group3_2,Group3_3,Group3_4,Group4_1,Group4_2,Group4_3,Group4_4
sp|P49590|SYHM_HUMAN,HARS2,"Histidine--tRNA ligase, mitochondrial OS=Homo sapiens OX=9606 GN=HARS2 PE=1 SV=1",439205.99,448497.61,409093.31,433143.29,467563.09,466331.17,381530.57,373292.95,440451.36,366230.84,418332.51,414313.14,417902.1,451282.5,447338.52,402831.66
sp|Q9H2F5|EPC1_HUMAN,EPC1,Enhancer of polycomb homolog 1 OS=Homo sapiens OX=9606 GN=EPC1 PE=1 SV=1,63252.9,38255.77,51436.84,76090.27,85946.84,57259.63,61885.35,52601.27,40877.11,37854.26,62940.42,25571.39,48332.99,64112.85,47427.59,67322.76
sp|Q96P50|ACAP3_HUMAN,ACAP3,"Arf-GAP with coiled-coil, ANK repeat and PH domain-containing protein 3 OS=Homo sapiens OX=9606 GN=ACAP3 PE=1 SV=2",91696.5,89690.36,75022,81925.86,95040.61,79982.1,85806.6,92893.79,86709.46,78810.52,79693.02,68267.58,86874.23,81616.68,81482.06,84934.29
sp|P39687|AN32A_HUMAN,ANP32A,Acidic leucine-rich nuclear phosphoprotein 32 family member A OS=Homo sapiens OX=9606 GN=ANP32A PE=1 SV=1,698575.27,609249.53,661529.29,658124.27,708079.25,776725.84,874592.86,860114.55,537263.37,843162.3,622317.72,675733.42,818339.89,613640.4,872107.79,750395.66
sp|Q9BTT0|AN32E_HUMAN,ANP32E,Acidic leucine-rich nuclear phosphoprotein 32 family member E OS=Homo sapiens OX=9606 GN=ANP32E PE=1 SV=1,868404.92,980377.87,777133.58,813626.16,959002.31,830284.26,856849.88,723280.07,813725.42,618442.74,636901,758255.95,911143.03,1014887.16,803127.4,862396.26
sp|O95476|CNEP1_HUMAN,CTDNEP1,CTD nuclear envelope phosphatase 1 OS=Homo sapiens OX=9606 GN=CTDNEP1 PE=1 SV=2,288552.76,337053.83,277903.29,132546.81,339726.77,181537.85,299448.14,290888.4,255632.94,225796.84,322779.48,326619.41,293245.63,336635.47,351039.19,274491.03
sp|P52597|HNRPF_HUMAN,HNRNPF,Heterogeneous nuclear ribonucleoprotein F OS=Homo sapiens OX=9606 GN=HNRNPF PE=1 SV=3,834169.13,874444.08,806200.97,761815.85,728754.87,648650.74,720595.95,652044.07,653198.03,527601.09,754285.23,613405.6,737695.16,651444.34,608167,686719.39
sp|Q969G3|SMCE1_HUMAN,SMARCE1,SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily E member 1 OS=Homo sapiens OX=9606 GN=SMARCE1 PE=1 SV=2,162846.01,166760.03,174579.2,186738.57,160600.79,184037.34,201153.15,185166.48,182787.62,196079.63,185915.6,185271.44,206441.04,180549.27,199883.38,180150.31
sp|Q9GZP4|PITH1_HUMAN,PITHD1,PITH domain-containing protein 1 OS=Homo sapiens OX=9606 GN=PITHD1 PE=1 SV=1,445083.86,406039.54,514251.25,476253.14,445555.4,517685.32,523136.04,602128.98,392091.59,544663.06,502076.14,431623.54,523653.61,404129,511948.12,456760.99
sp|P51790|CLCN3_HUMAN,CLCN3,H(+)/Cl(-) exchange transporter 3 OS=Homo sapiens OX=9606 GN=CLCN3 PE=1 SV=2,178997.84,202309.5,199848.09,225406.08,196433.79,211455.12,204536.99,208822.42,208903.98,179507.88,212541,197018.72,182190.64,173908.07,165496.87,185610.2
sp|P14868|SYDC_HUMAN,DARS1,"Aspartate--tRNA ligase, cytoplasmic OS=Homo sapiens OX=9606 GN=DARS1 PE=1 SV=2",579643.4,596491.33,576028.62,574300.65,628519.88,597906.35,571394.2,530832.19,628734.54,552332.36,575958.51,598327.9,545307.24,615438.9,582375.88,594532.9
sp|Q96C86|DCPS_HUMAN,DCPS,m7GpppX diphosphatase OS=Homo sapiens OX=9606 GN=DCPS PE=1 SV=2,154292.47,153768.01,172988.96,157491.77,171534.17,160244.7,160944.15,171166.25,130257.58,119930.52,123725.04,131872.56,162229.05,156069.68,148382.43,147723.48
sp|Q9NYC9|DYH9_HUMAN,DNAH9,Dynein axonemal heavy chain 9 OS=Homo sapiens OX=9606 GN=DNAH9 PE=1 SV=3,158844.64,116091.34,146335.49,153039.06,174984.98,129352.13,88161.99,,169236.92,77268.79,109682.96,175755.4,106675.26,140676.95,163566.56,177382.98
sp|Q96SQ9|CP2S1_HUMAN,CYP2S1,Cytochrome P450 2S1 OS=Homo sapiens OX=9606 GN=CYP2S1 PE=1 SV=2,255395.24,255609.3,240623.33,282595.21,263344.48,224737.51,222909.76,226806.06,318593.9,223510.67,256163.92,275902.94,252173.47,281578.29,221882.24,272105.45
sp|Q8IZQ1|WDFY3_HUMAN,WDFY3,WD repeat and FYVE domain-containing protein 3 OS=Homo sapiens OX=9606 GN=WDFY3 PE=1 SV=2,109570.08,120943.93,126371.41,114405.57,120382.17,127777.99,117543.3,125155.09,105114.53,122273.41,115535.6,95006.65,117652.91,111087.26,116321.53,103488.86
sp|Q9NTG7|SIR3_HUMAN,SIRT3,"NAD-dependent protein deacetylase sirtuin-3, mitochondrial OS=Homo sapiens OX=9606 GN=SIRT3 PE=1 SV=2",358841.43,370004.67,360474.83,356666,375700.01,405506.27,360916.22,349379.92,377197.21,365776.09,360518.73,357852.61,345994.95,403338.31,439850.37,384902.46
sp|Q9Y547|IFT25_HUMAN,HSPB11,Intraflagellar transport protein 25 homolog OS=Homo sapiens OX=9606 GN=HSPB11 PE=1 SV=1,93299.93,,91382.92,118975.63,96058.29,55672.92,96397.73,72308.84,87173.26,64590,94266.66,50827.28,,,,70667.04
sp|Q4V328|GRAP1_HUMAN,GRIPAP1,GRIP1-associated protein 1 OS=Homo sapiens OX=9606 GN=GRIPAP1 PE=1 SV=2,156279.79,169395.82,177346.46,172853.1,182762.94,179952.4,186038.87,191930.07,172309.57,179646.44,162579.4,160893.04,177802.57,185565.74,180345.9,170142.63
sp|P21912|SDHB_HUMAN,SDHB,"Succinate dehydrogenase [ubiquinone] iron-sulfur subunit, mitochondrial OS=Homo sapiens OX=9606 GN=SDHB PE=1 SV=3",731568.05,785023.06,752195.89,724435.68,716061.28,653896.62,667493.38,597617.94,792646.62,729589.23,717290.88,736135.04,661805.51,710484.22,599187.12,635748.63
sp|Q9BR01|ST4A1_HUMAN,SULT4A1,Sulfotransferase 4A1 OS=Homo sapiens OX=9606 GN=SULT4A1 PE=1 SV=2,181713.3,166873.33,186167.97,202431.61,171227.27,188760.03,203422.38,256780.25,144891.06,155463.63,195267.25,142250.3,192321.7,184232.79,196644.2,183728.48
sp|Q9P0Z9|SOX_HUMAN,PIPOX,Peroxisomal sarcosine oxidase OS=Homo sapiens OX=9606 GN=PIPOX PE=1 SV=2,,,,,,130557.5,,160879.81,107184.25,127181.92,,,,,,200615.4
sp|P51674|GPM6A_HUMAN,GPM6A,Neuronal membrane glycoprotein M6-a OS=Homo sapiens OX=9606 GN=GPM6A PE=1 SV=2,318753.15,350606.36,319202.75,341583.72,348892.71,385034.33,392209.44,395632.63,283127.02,465555.07,371073.39,307257.3,383999.28,365542.27,421017.99,366796.34
sp|Q9BTC0|DIDO1_HUMAN,DIDO1,Death-inducer obliterator 1 OS=Homo sapiens OX=9606 GN=DIDO1 PE=1 SV=5,126595.06,146492.71,143105.74,148825.83,125045.43,114092.23,133792.41,128919.5,165861.42,163561.54,155065.01,136572.48,118735.34,99807.68,106944.47,104377.04
sp|Q9UJX3|APC7_HUMAN,ANAPC7,Anaphase-promoting complex subunit 7 OS=Homo sapiens OX=9606 GN=ANAPC7 PE=1 SV=5,166455.91,155873.62,154633.63,167400.37,129763.92,149782.16,149003.76,153348.22,142830.15,166070.79,166326.57,147410.92,132672.45,138599.9,189126.22,154291.05
sp|P48163|MAOX_HUMAN,ME1,NADP-dependent malic enzyme OS=Homo sapiens OX=9606 GN=ME1 PE=1 SV=1,189641.64,192032.44,189041.6,186496.49,205453.85,185856.84,190291.84,290807.77,141197.24,169353.68,182432.28,130352.72,217089.67,157142.7,192083.01,184097.68
sp|Q9HCM2|PLXA4_HUMAN,PLXNA4,Plexin-A4 OS=Homo sapiens OX=9606 GN=PLXNA4 PE=1 SV=4,161397.04,171010.22,170004.18,185619.87,151341.35,164187.48,173476.41,195195.79,166243.44,240542.53,204744.93,198802.79,173555.95,148562.62,172281.52,154412.47
sp|Q9BRR3|PGAP4_HUMAN,PGAP4,Post-GPI attachment to proteins factor 4 OS=Homo sapiens OX=9606 GN=PGAP4 PE=1 SV=1,608860.67,490338.84,531967.33,536261.13,780915.99,781600.5,650350.46,689497.24,644594.63,690600.06,566426.01,586297.44,697051.04,671144.01,748533.61,645980.32
sp|Q13573|SNW1_HUMAN,SNW1,SNW domain-containing protein 1 OS=Homo sapiens OX=9606 GN=SNW1 PE=1 SV=1,200923.77,208175.52,235480.28,221462.43,166290.97,186499.32,193085.41,211440.46,210742.76,269059.19,231431.27,218656.21,183333.32,136919.77,172518.17,152610.99
sp|Q16798|MAON_HUMAN,ME3,"NADP-dependent malic enzyme, mitochondrial OS=Homo sapiens OX=9606 GN=ME3 PE=1 SV=2",108337.66,198543.1,209389.82,247771.1,172324.97,189194.52,196625.65,189613.61,149158.59,187022.02,160147.75,161434.43,195074.85,164333.71,145851.63,179214.75
sp|Q15814|TBCC_HUMAN,TBCC,Tubulin-specific chaperone C OS=Homo sapiens OX=9606 GN=TBCC PE=1 SV=2,268848.97,243220.32,239854.8,249627.64,209892.13,201334.36,236031.49,288881.07,226041.51,257855.85,247240.74,229735.55,295576.29,219435.52,249388.44,256281.37
sp|O43913|ORC5_HUMAN,ORC5,Origin recognition complex subunit 5 OS=Homo sapiens OX=9606 GN=ORC5 PE=1 SV=1,145396.43,147979.74,131372.85,133381.51,114716.14,107314.06,133920.72,117047.14,105790.36,101132.96,107772.71,118537.93,112804.99,98489.09,134158.85,102195.12
sp|O00634|NET3_HUMAN,NTN3,Netrin-3 OS=Homo sapiens OX=9606 GN=NTN3 PE=1 SV=1,11038.64,,27968.2,29184.24,32150.78,43089.45,33298.26,28874.62,17272.52,28762.96,,11841.22,34089.54,28528.45,46529.48,29004.19
sp|Q9ULK5|VANG2_HUMAN,VANGL2,Vang-like protein 2 OS=Homo sapiens OX=9606 GN=VANGL2 PE=1 SV=2,197378.69,210701.75,202494.86,205809.88,192980.39,217413.77,221239.04,228764.24,197755.67,262752.78,235160.63,206832.59,224439.39,212711.16,243188.92,234099.15
sp|P04818|TYSY_HUMAN,TYMS,Thymidylate synthase OS=Homo sapiens OX=9606 GN=TYMS PE=1 SV=3,55214.94,28444.23,37440,54723.18,,,50620.45,43854.78,41689.68,48404.66,37048.08,57336.34,30544.95,51953.93,51838.6,47113.39
sp|P61962|DCAF7_HUMAN,DCAF7,DDB1- and CUL4-associated factor 7 OS=Homo sapiens OX=9606 GN=DCAF7 PE=1 SV=1,251120.55,244649.14,236460.64,228225.42,254508.63,252717.18,230888.38,237258.46,235272.3,220345.02,242140.33,242222.77,251949.52,268542.78,270535.51,301246.13
sp|O95169|NDUB8_HUMAN,NDUFB8,"NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 8, mitochondrial OS=Homo sapiens OX=9606 GN=NDUFB8 PE=1 SV=1",536506.22,560429.43,573532.28,569220.72,542408.86,531420.84,543754.61,545664.06,654029.87,619617.8,634784.94,622676.59,558084.34,518238.47,512869.23,515911.79
sp|Q9NWT1|PK1IP_HUMAN,PAK1IP1,p21-activated protein kinase-interacting protein 1 OS=Homo sapiens OX=9606 GN=PAK1IP1 PE=1 SV=2,256026.98,268043.2,241455.09,259351.69,226931.63,218531.9,218869.92,228625.32,269602.63,199263.92,245435.12,260991.76,250023.11,218094.97,201074.34,192393.12
sp|Q9HC52|CBX8_HUMAN,CBX8,Chromobox protein homolog 8 OS=Homo sapiens OX=9606 GN=CBX8 PE=1 SV=3,190818.26,217858.03,210939.27,217900.04,170120.24,163007.04,199045.55,174758.73,261389.04,240040.49,229452.68,240074.65,189483.02,190567.48,197504,196506.61
sp|O43837|IDH3B_HUMAN,IDH3B,"Isocitrate dehydrogenase [NAD] subunit beta, mitochondrial OS=Homo sapiens OX=9606 GN=IDH3B PE=1 SV=2",366172.94,395616.91,365731.53,370442.89,317436.86,318704.03,336783.8,327211.6,378123.63,337500.31,362521.41,351326.54,321528.86,310088.01,296067.91,303915.09
sp|Q9Y250|LZTS1_HUMAN,LZTS1,Leucine zipper putative tumor suppressor 1 OS=Homo sapiens OX=9606 GN=LZTS1 PE=1 SV=3,70610.74,,71345.9,73806,,,65703.12,,,116198.63,,,,91698.67,,
sp|P17050|NAGAB_HUMAN,NAGA,Alpha-N-acetylgalactosaminidase OS=Homo sapiens OX=9606 GN=NAGA PE=1 SV=2,229149.68,238051.3,235208.25,223354.49,258888.41,244514.01,247746.06,220499.42,204863,216900.89,220885.44,204560.54,194548.87,196171.57,220981.65,206641.61
sp|P62841|RS15_HUMAN,RPS15,40S ribosomal protein S15 OS=Homo sapiens OX=9606 GN=RPS15 PE=1 SV=2,404645.1,401167.64,422419.83,411327.94,400378.63,410941.34,442495.77,492983.86,422067.85,492462.49,424608.87,414897.02,460506.37,432893.54,403586.6,424742.59
sp|Q14197|ICT1_HUMAN,MRPL58,"Peptidyl-tRNA hydrolase ICT1, mitochondrial OS=Homo sapiens OX=9606 GN=MRPL58 PE=1 SV=1",696999.55,703121.33,670598.96,667601.19,672608.93,635804.04,643981.88,635467.95,707410.13,656632.73,700803.28,695324.38,673043.18,721475.15,603841.79,611786.16
sp|Q03154|ACY1_HUMAN,ACY1,Aminoacylase-1 OS=Homo sapiens OX=9606 GN=ACY1 PE=1 SV=1,126572.96,142414.56,143567.56,141783.41,167605.99,127915.43,167876.81,150857.16,143546.45,128420.26,125608.08,147479.36,207453.55,152756.13,136829.38,139540.88
sp|O60507|TPST1_HUMAN,TPST1,Protein-tyrosine sulfotransferase 1 OS=Homo sapiens OX=9606 GN=TPST1 PE=1 SV=1,169491.25,147797.84,176471.41,202241,232508.42,122069.86,175163.18,195064.28,206023.82,208080.38,152748.32,174817.4,207396.33,165641.06,201554.18,165752.6
sp|P30626|SORCN_HUMAN,SRI,Sorcin OS=Homo sapiens OX=9606 GN=SRI PE=1 SV=1,464314.18,516112.52,543225.03,514014.21,493065.55,513049.81,609894.2,617857.57,487217.37,567318.45,543256.25,511251.92,576152.57,504080.93,559108.73,521162.15
sp|Q13347|EIF3I_HUMAN,EIF3I,Eukaryotic translation initiation factor 3 subunit I OS=Homo sapiens OX=9606 GN=EIF3I PE=1 SV=1,445727.21,484991.98,469578.18,456989.56,505185.49,468560.13,489222.07,473011.07,468881.81,438054.03,444274.14,465900.28,460641.26,479411.59,455608.2,455212.88
sp|Q5SYC1|CLVS2_HUMAN,CLVS2,Clavesin-2 OS=Homo sapiens OX=9606 GN=CLVS2 PE=1 SV=1,189522,164125.47,202869.19,208848.53,219849.42,193299.24,200345.86,187375.66,197560.86,228363.89,226494.08,204794.39,202073.39,202446.14,214863.42,196546.14
sp|Q9Y266|NUDC_HUMAN,NUDC,Nuclear migration protein nudC OS=Homo sapiens OX=9606 GN=NUDC PE=1 SV=1,353922.9,333466.99,349858.62,341230.37,312655.61,344326.94,371035.97,444013.33,316338.1,389577.6,325932.92,312207.1,369606.09,303349.45,355431.68,328730.48
sp|Q9UKU9|ANGL2_HUMAN,ANGPTL2,Angiopoietin-related protein 2 OS=Homo sapiens OX=9606 GN=ANGPTL2 PE=1 SV=1,116640.38,94597.12,118253.86,94029.51,126251.3,136600.28,118392.43,116646.2,104817.62,64609.38,55606.63,75750.28,109696.66,128747.31,91031.01,103342.32
sp|P26992|CNTFR_HUMAN,CNTFR,Ciliary neurotrophic factor receptor subunit alpha OS=Homo sapiens OX=9606 GN=CNTFR PE=1 SV=2,943810.1,918289.62,958116.51,916596.13,687137.49,750651.67,844683,919070.89,615217.17,659014.74,862544.78,592160.53,710859.94,635782.88,665395.36,624080.97
sp|O00267|SPT5H_HUMAN,SUPT5H,Transcription elongation factor SPT5 OS=Homo sapiens OX=9606 GN=SUPT5H PE=1 SV=1,225835.99,236827.57,225133.15,231195.33,228907.46,202799.83,225261.95,211192.01,256230.79,240986.78,226108.89,253040.21,232294.48,217053.69,212668.56,234297.7
sp|Q7Z7E8|UB2Q1_HUMAN,UBE2Q1,Ubiquitin-conjugating enzyme E2 Q1 OS=Homo sapiens OX=9606 GN=UBE2Q1 PE=1 SV=1,134582.65,128766.43,154568.72,135344.4,111771.89,120791.21,152632.44,158147.18,116608.14,147534.61,135486.62,122807.5,154125.45,150067.01,114500.83,120921.1
sp|P60228|EIF3E_HUMAN,EIF3E,Eukaryotic translation initiation factor 3 subunit E OS=Homo sapiens OX=9606 GN=EIF3E PE=1 SV=1,425444.01,432583.28,416581.23,407927.72,456539.93,471570.57,447617.41,455126.17,415184.25,400782.62,413944.9,423789.2,461705.51,474410.48,447086.15,444743.87
sp|Q96MZ0|GD1L1_HUMAN,GDAP1L1,Ganglioside-induced differentiation-associated protein 1-like 1 OS=Homo sapiens OX=9606 GN=GDAP1L1 PE=2 SV=2,375954,371150.42,387628.79,382486.92,375843.7,398385.18,380607.69,396848.05,367750.73,412827.19,380122.61,384197.79,399372.43,349908.79,404980.66,389570.63
sp|P26196|DDX6_HUMAN,DDX6,Probable ATP-dependent RNA helicase DDX6 OS=Homo sapiens OX=9606 GN=DDX6 PE=1 SV=2,534437.65,514048.35,538667.99,529263.46,545749.74,557108.81,556132.43,554849.17,523318.65,608557.08,563968.85,549285.32,575779.17,547188.96,608425.56,587245.75
sp|P84157|MXRA7_HUMAN,MXRA7,Matrix-remodeling-associated protein 7 OS=Homo sapiens OX=9606 GN=MXRA7 PE=1 SV=1,14428.58,93620.14,216430.38,105217.64,200760.39,183177.26,119229.94,100363.84,281869.53,116305.89,125394.08,119189.63,90937.71,153326.4,206682.09,140446.42
sp|Q99460|PSMD1_HUMAN,PSMD1,26S proteasome non-ATPase regulatory subunit 1 OS=Homo sapiens OX=9606 GN=PSMD1 PE=1 SV=2,369323.43,356058.47,351495.5,351439,397203.29,392011.24,377072.43,385181.63,354284.85,335403.8,359599.85,361044.85,395054.81,430479.46,417468.69,424799.84
sp|Q9HB21|PKHA1_HUMAN,PLEKHA1,Pleckstrin homology domain-containing family A member 1 OS=Homo sapiens OX=9606 GN=PLEKHA1 PE=1 SV=2,187926.5,229737.69,166441.13,202919.29,187940.85,177686.85,217298.17,,134179.26,,185878.17,,,173287.51,191894.02,218935.55
sp|Q9BV86|NTM1A_HUMAN,NTMT1,N-terminal Xaa-Pro-Lys N-methyltransferase 1 OS=Homo sapiens OX=9606 GN=NTMT1 PE=1 SV=3,160035.68,155870.35,159015.82,142032.41,132593.9,122408.23,131163.9,131080.53,153794.12,112217.97,152914.79,149564.52,147095.73,146761.85,124126.37,141580.7
sp|P18754|RCC1_HUMAN,RCC1,Regulator of chromosome condensation OS=Homo sapiens OX=9606 GN=RCC1 PE=1 SV=1,364375.03,403593.67,390458.27,375345.42,368573.78,360095.01,368340.9,325034.07,427267.31,350480.3,418686.76,396145.13,392643.98,416082.41,401490.65,397941.48
sp|Q15008|PSMD6_HUMAN,PSMD6,26S proteasome non-ATPase regulatory subunit 6 OS=Homo sapiens OX=9606 GN=PSMD6 PE=1 SV=1,576186.28,574172.77,594325.2,576421.55,625529.08,642425.81,605708.84,667345.75,550980.91,486243.27,630282.81,547383.59,649164.4,677716.38,655073.41,647270.65
sp|P83436|COG7_HUMAN,COG7,Conserved oligomeric Golgi complex subunit 7 OS=Homo sapiens OX=9606 GN=COG7 PE=1 SV=1,120113.63,143542.29,96729.03,151333.95,219055,197660.38,148817.28,144570.46,138893.75,112154.49,150209.14,118883.71,166400.98,202592.76,186152.6,225651.13
sp|O75382|TRIM3_HUMAN,TRIM3,Tripartite motif-containing protein 3 OS=Homo sapiens OX=9606 GN=TRIM3 PE=1 SV=2,455207.11,448569.67,433343.65,421323.91,420745.46,434165.71,436797.46,429346.76,405103.14,437152.37,414540.07,429461.88,446518.8,439542.83,422062.64,434912.58
sp|P82909|KGD4_HUMAN,MRPS36,Alpha-ketoglutarate dehydrogenase component 4 OS=Homo sapiens OX=9606 GN=MRPS36 PE=1 SV=2,466234.25,480578.68,462353.4,482761.85,480308.24,498030.15,485954.42,461792.69,509459.77,485425.93,504979.23,490562.18,455514.19,469820.96,490954.68,447266.73
sp|Q14978|NOLC1_HUMAN,NOLC1,Nucleolar and coiled-body phosphoprotein 1 OS=Homo sapiens OX=9606 GN=NOLC1 PE=1 SV=2,338692.83,346919.98,359996.04,318881.92,223478.77,222354.85,258901.45,285185.52,410100.41,386256.28,327150.16,323603.53,224723.07,232001.99,232528.8,194009.55
sp|Q96SZ6|CK5P1_HUMAN,CDK5RAP1,Mitochondrial tRNA methylthiotransferase CDK5RAP1 OS=Homo sapiens OX=9606 GN=CDK5RAP1 PE=1 SV=2,68400.85,64402.68,,,,,60121.57,41696.96,69415.6,58186.41,87048.03,,,,,
sp|Q92620|PRP16_HUMAN,DHX38,Pre-mRNA-splicing factor ATP-dependent RNA helicase PRP16 OS=Homo sapiens OX=9606 GN=DHX38 PE=1 SV=2,216882.91,234685.52,193774.44,191331.32,213403.87,186709.33,193089.38,168433.66,217210.63,155436.61,164945.44,200430.63,181733.61,187927.64,168255.72,179803.94
sp|Q9H0P0|5NT3A_HUMAN,NT5C3A,Cytosolic 5'-nucleotidase 3A OS=Homo sapiens OX=9606 GN=NT5C3A PE=1 SV=3,219433.12,204480.72,248569.69,248385.93,242414.27,255474.49,247256.93,236795.88,219290.83,265711.33,245276.18,220408.35,239913.72,237259.41,283726.41,197294.06
sp|Q9Y5K8|VATD_HUMAN,ATP6V1D,V-type proton ATPase subunit D OS=Homo sapiens OX=9606 GN=ATP6V1D PE=1 SV=1,406523.87,384687.18,421871.78,411311.31,395824.42,428874.06,433343.2,491314.23,391449.31,430374.44,436330.54,411882.5,472646.05,424624.76,433241.05,428278.7
sp|Q96C36|P5CR2_HUMAN,PYCR2,Pyrroline-5-carboxylate reductase 2 OS=Homo sapiens OX=9606 GN=PYCR2 PE=1 SV=1,486068.79,459094.21,445396.77,509104.91,495802.61,491595.24,474860.3,434813.37,523337.67,447186.18,472011.57,482218.21,436276.82,481282.07,471358.38,479607.11
sp|P51965|UB2E1_HUMAN,UBE2E1,Ubiquitin-conjugating enzyme E2 E1 OS=Homo sapiens OX=9606 GN=UBE2E1 PE=1 SV=1,381436.23,417260.39,333127.78,448389.07,305768.45,349938.51,325640.12,336413.8,358707.48,385145.9,352021.02,385349.94,273500.95,328979.65,281166.07,320178.71
sp|O95749|GGPPS_HUMAN,GGPS1,Geranylgeranyl pyrophosphate synthase OS=Homo sapiens OX=9606 GN=GGPS1 PE=1 SV=1,144516.88,146338.3,157606.1,177526.12,172495.3,163925.1,170357.22,159207.95,151975.56,174599.69,146699.88,159332.12,173104.9,154239.24,169575.28,175535.16
sp|P08708|RS17_HUMAN,RPS17,40S ribosomal protein S17 OS=Homo sapiens OX=9606 GN=RPS17 PE=1 SV=2,610891.21,663497.32,715676.36,670480.85,565525.73,518471.22,588226.51,630305.06,755873.77,702240.9,664031.44,746753.57,678656.98,611827.17,534473.47,578654.16
sp|Q9Y673|ALG5_HUMAN,ALG5,Dolichyl-phosphate beta-glucosyltransferase OS=Homo sapiens OX=9606 GN=ALG5 PE=1 SV=1,245432.28,266290.77,248341.21,260591.93,266325.89,260752.29,260335.44,249983.68,279423.2,238873.93,276059.53,274839.15,276128.29,280600.47,271210.7,271495.59
sp|O60427|FADS1_HUMAN,FADS1,Acyl-CoA (8-3)-desaturase OS=Homo sapiens OX=9606 GN=FADS1 PE=1 SV=3,220504.86,198805.23,198999.37,207512.93,193711.47,201132.35,208179.28,217558.68,245741.54,226449.1,200791.05,211968.25,209538.04,261204.04,207446.12,218895.49
sp|Q9Y3A4|RRP7A_HUMAN,RRP7A,Ribosomal RNA-processing protein 7 homolog A OS=Homo sapiens OX=9606 GN=RRP7A PE=1 SV=2,147573.83,194643.6,156798.99,161613.8,269179.95,189229.56,174253.48,133205.93,194223.62,142963.64,174061.18,126330.81,113818.08,193439.22,118528.05,133446.68
sp|Q9NQC7|CYLD_HUMAN,CYLD,Ubiquitin carboxyl-terminal hydrolase CYLD OS=Homo sapiens OX=9606 GN=CYLD PE=1 SV=1,71208.9,68155.82,82074.39,77525.3,65036.68,53565.81,76630.45,97247.26,61533.85,64394.16,87333.04,,89847.53,68332.04,54608.76,50965.88
sp|A9UHW6|MI4GD_HUMAN,MIF4GD,MIF4G domain-containing protein OS=Homo sapiens OX=9606 GN=MIF4GD PE=1 SV=1,47522.09,,,,,,91187.47,,73312,,,,,,,56390.98
sp|Q9H425|CA198_HUMAN,C1orf198,Uncharacterized protein C1orf198 OS=Homo sapiens OX=9606 GN=C1orf198 PE=1 SV=1,199353.35,238919.89,241732.62,255196.95,169401.4,218529.77,233160.08,267838.2,156247.37,303047.47,264849.64,207889.5,224593.91,166776.81,202246.96,190007.39
sp|Q13613|MTMR1_HUMAN,MTMR1,Myotubularin-related protein 1 OS=Homo sapiens OX=9606 GN=MTMR1 PE=1 SV=4,263749.84,234516.41,260628.52,258281.03,274691.28,282125.58,272149.14,281540.49,252040.52,259558.68,261592.56,252052.87,273631.43,262497.11,264199.88,270747.08
sp|Q9UJY5|GGA1_HUMAN,GGA1,ADP-ribosylation factor-binding protein GGA1 OS=Homo sapiens OX=9606 GN=GGA1 PE=1 SV=1,90391.72,78563.11,82182.16,63608.91,71628.94,87430.54,100778.78,105234.97,68123.55,86649.62,75564.7,71283.38,77484.1,43442.65,104281.49,71712.19
sp|O75616|ERAL1_HUMAN,ERAL1,"GTPase Era, mitochondrial OS=Homo sapiens OX=9606 GN=ERAL1 PE=1 SV=2",147063.36,148277.4,126891.98,134656.45,125796.05,122487.47,102224.19,105160.55,141757.89,137411.7,137619.97,149695.99,91206.94,155576.5,64779.24,114757.61
sp|Q96I99|SUCB2_HUMAN,SUCLG2,"Succinate--CoA ligase [GDP-forming] subunit beta, mitochondrial OS=Homo sapiens OX=9606 GN=SUCLG2 PE=1 SV=2",198382.61,202888.04,196351.58,183126.09,209203.03,202588.67,186533.05,154825.21,214438.32,159046,189299.12,211030.22,170095.63,188969.56,155044.61,200871.16
sp|Q96JB2|COG3_HUMAN,COG3,Conserved oligomeric Golgi complex subunit 3 OS=Homo sapiens OX=9606 GN=COG3 PE=1 SV=3,118304.72,109330.28,123437.43,117666.89,157887.43,145784.08,143312.51,143565.46,96453.24,102461.97,125239.69,119085.03,137613.42,144668.27,165176.95,153372.45
sp|Q15005|SPCS2_HUMAN,SPCS2,Signal peptidase complex subunit 2 OS=Homo sapiens OX=9606 GN=SPCS2 PE=1 SV=3,326623.9,332542.28,362790.46,383222.13,317841.34,282561.46,307575.25,319991.57,395029.8,345551.81,390927.93,342946.35,302277.29,284567.57,262221.21,295534.4
sp|Q86UL3|GPAT4_HUMAN,GPAT4,Glycerol-3-phosphate acyltransferase 4 OS=Homo sapiens OX=9606 GN=GPAT4 PE=1 SV=1,233094.47,235898.61,235131.43,239695.93,217007.82,207746.78,194978.16,224468.46,239820.95,266998.42,236171.87,237713.52,213222.06,191383.36,195128.38,206970.82
sp|Q13015|AF1Q_HUMAN,MLLT11,Protein AF1q OS=Homo sapiens OX=9606 GN=MLLT11 PE=1 SV=1,278941.12,298930.15,352398.35,327038.61,186852.23,195989.35,266995.06,320151.22,317401.26,370582.49,307649.17,293320.57,293193.52,197636.15,221159.46,178791.18
