protein,species,quant,EA100915_05,EA100915_06,EA100915_09,EA100915_10,EA100915_13,EA100915_14,EA100915_18,EA100915_21,EA100915_25,EA100915_26,EA100915_29,EA100915_30,EA100915_33,EA100915_34,EA100915_38,EA100915_41
>sp|Q96GX9|MTNB_HUMAN Methylthioribulose-1-phosphate dehydratase OS=Homo sapiens GN=APIP PE=1 SV=1,human,dia,34278.05859,47298.55095,71634.66463,36102.34835,83719.49091,35629.97058,76457.91012,78004.5231,53791.08379,83581.63711,80312.05076,50068.2034,87962.64772,59187.9364,42386.15746,74016.16456
>sp|Q96HE7|ERO1A_HUMAN ERO1-like protein alpha OS=Homo sapiens GN=ERO1A PE=1 SV=2,human,dia,363489.3085,330150.1515,387221.9823,383184.2514,352916.4705,319695.9294,339641.0058,378070.2511,389016.605,371771.3378,354035.8591,328821.7763,323189.946,328050.7073,321304.4714,324987.6448
>sp|Q96HJ9|FMC1_HUMAN Protein FMC1 homolog OS=Homo sapiens GN=FMC1 PE=1 SV=2,human,dia,121154.6094,93274.99677,154654.1289,101205.154,250783.939,224648.2893,161912.4362,217990.6142,170627.9803,186509.9999,164516.1075,146682.8284,179934.0597,200909.8828,195252.0398,114165.163
>sp|Q96HQ2|C2AIL_HUMAN CDKN2AIP N-terminal-like protein OS=Homo sapiens GN=CDKN2AIPNL PE=1 SV=1,human,dia,102642.7969,70469.20269,77977.60423,50711.19668,75446.63757,81089.6387,80657.82053,44353.55822,122356.8224,79910.06614,96771.24856,58925.39879,97670.40959,91156.3702,74720.34792,92278.52061
>sp|Q96HR9|REEP6_HUMAN Receptor expression-enhancing protein 6 OS=Homo sapiens GN=REEP6 PE=1 SV=2,human,dia,185759.7617,216596.2533,236613.1993,126031.7531,193982.6905,289594.0004,194930.8099,217914.3399,216431.1542,170511.4666,197378.397,233627.9822,200093.3096,144435.7287,166095.5695,177448.4088
">sp|Q96HS1|PGAM5_HUMAN Serine/threonine-protein phosphatase PGAM5, mitochondrial OS=Homo sapiens GN=PGAM5 PE=1 SV=2",human,dia,1983287.367,2349127.586,2427764.051,2272628.914,2073129.017,1871669.056,1753222.724,2316531.897,2341921.001,2694720.103,2289264.388,2355997.85,2118793.277,2779260.429,2129599.737,2267020.704
>sp|Q96HV5|TM41A_HUMAN Transmembrane protein 41A OS=Homo sapiens GN=TMEM41A PE=1 SV=1,human,dia,75332.03906,43262.19162,73501.53075,67980.15596,73334.234,72361.5625,70118.83572,71102.57698,60369.63075,63810.98015,72390.51433,77061.83031,55366.43835,71517.25241,82983.49217,61266.25556
>sp|Q96HY6|DDRGK_HUMAN DDRGK domain-containing protein 1 OS=Homo sapiens GN=DDRGK1 PE=1 SV=2,human,dia,273316.4063,279819.837,280194.9347,299019.1707,279079.4315,272207.3165,254681.5781,309718.0837,304530.7359,287657.5177,307072.9938,297107.7982,321556.4067,293601.1982,245581.5162,315248.4007
">sp|Q96HY7|DHTK1_HUMAN Probable 2-oxoglutarate dehydrogenase E1 component DHKTD1, mitochondrial OS=Homo sapiens GN=DHTKD1 PE=1 SV=2",human,dia,150896.3491,197761.5321,152701.6904,180151.1755,185866.737,188285.8556,168662.57,165687.5312,204641.8599,131098.3649,159190.6713,148225.5281,218000.0796,163985.0378,173655.2401,176829.2522
">sp|Q96I23|PREY_HUMAN Protein preY, mitochondrial OS=Homo sapiens GN=PYURF PE=1 SV=1",human,dia,71347.68751,78739.80607,57931.30123,67656.41594,41924.66157,63826.74336,121106.8373,110300.139,74969.30833,123252.0121,113545.8661,93742.08592,149014.7022,65560.94019,85676.12608,31886.94124
>sp|Q96I24|FUBP3_HUMAN Far upstream element-binding protein 3 OS=Homo sapiens GN=FUBP3 PE=1 SV=2,human,dia,765950.6602,722863.9119,615004.7128,655058.1211,932815.4032,929101.9979,526933.0707,765977.6017,862620.2284,807286.0736,762590.0371,671566.4966,677627.5612,689856.9282,711006.7121,685310.1695
">sp|Q96I99|SUCB2_HUMAN Succinate--CoA ligase [GDP-forming] subunit beta, mitochondrial OS=Homo sapiens GN=SUCLG2 PE=1 SV=2",human,dia,991574.0001,1219642.065,1158077.035,1184886.603,958014.3605,1250525.914,1026520.819,1165734.737,1096173.179,935012.9988,1060756.902,1017374.624,903243.9657,1159631.734,874112.0719,1238288.19
>sp|Q96IJ6|GMPPA_HUMAN Mannose-1-phosphate guanyltransferase alpha OS=Homo sapiens GN=GMPPA PE=1 SV=1,human,dia,38893.54688,36403.78323,26838.97638,17603.57234,34316.97446,23431.48444,29038.21632,33944.17925,31277.8665,11785.44155,21903.26829,29064.37251,42081.62059,29793.4748,17988.76219,37849.68495
>sp|Q96IR7|HPDL_HUMAN 4-hydroxyphenylpyruvate dioxygenase-like protein OS=Homo sapiens GN=HPDL PE=1 SV=1,human,dia,2692698.824,2616572.78,2113601.295,2759980.42,2123892.364,3121726.893,2883521.529,2501676.825,2300035.726,2830169.947,2419722.4,2964817.87,2553339.402,2690037.567,2456083.308,2304596.304
>sp|Q96IW7|SC22A_HUMAN Vesicle-trafficking protein SEC22a OS=Homo sapiens GN=SEC22A PE=1 SV=1,human,dia,17760.65234,9847.608773,20224.36856,11711.01158,32774.68011,14716.77526,17553.7884,16811.11612,14685.87547,16075.08046,11488.2435,19564.73336,26469.99326,NA,24087.58965,15535.54089
>sp|Q96IX5|USMG5_HUMAN Up-regulated during skeletal muscle growth protein 5 OS=Homo sapiens GN=USMG5 PE=1 SV=1,human,dia,316731.6875,270358.3617,365433.2895,262549.0701,373012.2035,376534.8601,621365.4222,395142.849,365695.0065,349039.9328,204778.8648,314339.761,364871.2593,310413.445,405647.5441,381410.6454
>sp|Q96J01|THOC3_HUMAN THO complex subunit 3 OS=Homo sapiens GN=THOC3 PE=1 SV=1,human,dia,85157.36719,66505.16978,96202.03816,87855.07352,115394.901,98664.1972,88608.58356,119150.5132,58422.59014,121812.7566,121511.8409,94105.83231,96162.35828,109449.3547,39571.08389,92583.17932
>sp|Q96JB2|COG3_HUMAN Conserved oligomeric Golgi complex subunit 3 OS=Homo sapiens GN=COG3 PE=1 SV=3,human,dia,95535.66455,241037.5731,115673.3275,254677.02,126262.9222,140083.4693,218436.0232,240293.119,127234.1406,90841.43098,243709.3885,187291.8045,99571.6038,118640.039,97100.68881,238865.1265
>sp|Q96JB5|CK5P3_HUMAN CDK5 regulatory subunit-associated protein 3 OS=Homo sapiens GN=CDK5RAP3 PE=1 SV=2,human,dia,146594.127,102138.9956,185370.0906,235583.1277,100863.7348,171687.9473,139211.4441,102786.9879,112562.8956,236308.8247,68562.53476,147921.8135,206148.4047,119250.9072,114681.89,254537.5569
>sp|Q96K17|BT3L4_HUMAN Transcription factor BTF3 homolog 4 OS=Homo sapiens GN=BTF3L4 PE=1 SV=1,human,dia,214994.7187,148742.9075,121339.3606,122217.8609,165422.3293,119936.3887,186553.6625,125942.3349,237456.2319,127014.256,191790.2913,152813.3348,109251.1077,161796.4357,109677.4798,130077.9935
>sp|Q96KG9|SCYL1_HUMAN N-terminal kinase-like protein OS=Homo sapiens GN=SCYL1 PE=1 SV=1,human,dia,800467.1328,717824.8829,761375.3377,777389.0327,616017.535,877374.0855,645143.9419,760019.6915,665616.714,607223.8269,805659.9816,784023.9662,584749.3773,638820.0643,559117.1805,626310.8998
>sp|Q96KP4|CNDP2_HUMAN Cytosolic non-specific dipeptidase OS=Homo sapiens GN=CNDP2 PE=1 SV=2,human,dia,2338620.113,2303624.502,2256618.098,2401266.594,2159977.762,2357432.956,1853412.72,2434609.18,2542230.668,2462902.233,2044949.066,2408225.132,2490560.014,2235667.844,2213408.164,2195388.271
>sp|Q96KQ7|EHMT2_HUMAN Histone-lysine N-methyltransferase EHMT2 OS=Homo sapiens GN=EHMT2 PE=1 SV=3,human,dia,55635.10156,38932.34133,34145.94678,32989.8933,46546.67747,44472.58511,47506.90261,33079.79867,52297.96139,46907.69899,39404.11487,44826.14354,30742.8587,21560.51998,45577.33556,27119.80124
>sp|Q96KR1|ZFR_HUMAN Zinc finger RNA-binding protein OS=Homo sapiens GN=ZFR PE=1 SV=2,human,dia,240777.3789,244675.2462,340036.8146,259849.4041,259926.4723,252678.5228,176822.375,361803.9784,279788.307,320346.4513,306665.4648,274905.8986,237357.1665,289489.5053,281627.4136,276531.6308
>sp|Q96L92|SNX27_HUMAN Sorting nexin-27 OS=Homo sapiens GN=SNX27 PE=1 SV=2,human,dia,265884.2579,202566.3549,229519.8244,270329.2647,164356.1027,302042.5051,266038.2562,313252.6009,253596.4467,205376.3741,206256.8263,284403.8114,277410.019,200313.5369,264935.7873,278665.0227
>sp|Q96M27|PRRC1_HUMAN Protein PRRC1 OS=Homo sapiens GN=PRRC1 PE=1 SV=1,human,dia,136710.75,98723.70502,145958.164,105305.7945,141661.4833,92270.68362,83114.75228,105914.3884,118205.8521,116395.3271,146463.5455,89665.79006,152580.221,145970.5236,60745.88516,92099.6218
>sp|Q96M86|DNHD1_HUMAN Dynein heavy chain domain-containing protein 1 OS=Homo sapiens GN=DNHD1 PE=2 SV=2,human,dia,239462.1866,236279.4073,330178.2444,148652.957,355023.7858,229951.9951,244336.5329,287413.1246,372275.7378,190225.9788,278323.7958,439494.6147,350423.9559,204987.0357,425450.3438,170010.3396
>sp|Q96M89|CC138_HUMAN Coiled-coil domain-containing protein 138 OS=Homo sapiens GN=CCDC138 PE=1 SV=1,human,dia,395387.3125,769522.3557,424731.4953,583549.2912,250324.3819,803139.2016,452206.4939,378370.0749,230662.6142,808969.4229,416187.7292,690204.789,473061.3882,616054.4613,783494.7033,484178.749
>sp|Q96N66|MBOA7_HUMAN Lysophospholipid acyltransferase 7 OS=Homo sapiens GN=MBOAT7 PE=1 SV=2,human,dia,481725.0273,364742.7363,397985.3816,355733.9856,382913.0598,379221.1856,329615.1716,378534.5799,394574.9075,378554.4155,344724.562,408291.878,391890.6668,344725.4422,384975.5971,384741.6218
>sp|Q96P16|RPR1A_HUMAN Regulation of nuclear pre-mRNA domain-containing protein 1A OS=Homo sapiens GN=RPRD1A PE=1 SV=1,human,dia,163202.3203,189560.5803,201580.9554,148521.47,210333.5447,248441.0318,233557.7779,188896.8368,203953.4708,216375.8162,117632.7493,174500.179,189233.0271,146026.6339,167857.1798,189242.3971
">sp|Q96P48|ARAP1_HUMAN Arf-GAP with Rho-GAP domain, ANK repeat and PH domain-containing protein 1 OS=Homo sapiens GN=ARAP1 PE=1 SV=3",human,dia,76566.53321,81775.4816,64324.11242,74799.09448,91736.12118,71713.29857,69746.58931,77104.33329,91928.2971,59968.63206,70618.37667,83471.32288,83675.48559,86114.47856,75638.36868,86447.06298
>sp|Q96P70|IPO9_HUMAN Importin-9 OS=Homo sapiens GN=IPO9 PE=1 SV=3,human,dia,476183.8584,335868.7391,472419.8925,366688.6896,380474.4547,474752.549,414800.3428,343667.4137,392948.3659,449691.094,413417.1087,360184.7292,443834.8446,311773.8774,316106.6606,329556.6292
>sp|Q96PK6|RBM14_HUMAN RNA-binding protein 14 OS=Homo sapiens GN=RBM14 PE=1 SV=2,human,dia,1081479.423,1084093.167,1465407.508,1242932.064,1349226.788,1572231.234,1240932.905,1359026.138,1501441.066,1108799.472,998959.4156,1232049.071,1446504.852,1374347.971,1431781.279,1380801.299
">sp|Q96Q11|TRNT1_HUMAN CCA tRNA nucleotidyltransferase 1, mitochondrial OS=Homo sapiens GN=TRNT1 PE=1 SV=2",human,dia,85444.41406,99601.20738,97592.48597,93340.12566,88444.48874,148905.4821,127914.9187,164777.2417,75550.75709,103686.2448,122225.1996,130562.7147,110402.3887,136481.7865,124416.9589,84488.39966
>sp|Q96QC0|PP1RA_HUMAN Serine/threonine-protein phosphatase 1 regulatory subunit 10 OS=Homo sapiens GN=PPP1R10 PE=1 SV=1,human,dia,272583.4297,253051.0782,258734.76,325540.2431,258180.4736,214629.363,287715.7821,198176.9491,368093.1656,266964.2186,310728.8975,190669.5295,259947.5323,300214.8727,221577.7301,229109.2711
>sp|Q96QK1|VPS35_HUMAN Vacuolar protein sorting-associated protein 35 OS=Homo sapiens GN=VPS35 PE=1 SV=2,human,dia,2348048.067,2018901.021,2281811.779,2291200.429,2126879.226,2447639.913,2154043.434,2395467.43,2271478.351,2303590.694,2225045.576,2320141.814,2541885.793,2131870.403,1909994.733,2241557.316
>sp|Q96QR8|PURB_HUMAN Transcriptional activator protein Pur-beta OS=Homo sapiens GN=PURB PE=1 SV=3,human,dia,376375.5586,317929.6108,713119.292,353012.9332,246869.6364,197915.5473,236899.9591,293315.9916,273568.5502,252096.3252,288158.8327,420534.0527,187333.464,233918.0734,327138.471,360338.4247
>sp|Q96RD7|PANX1_HUMAN Pannexin-1 OS=Homo sapiens GN=PANX1 PE=1 SV=4,human,dia,18573.19141,12799.7248,8596.598384,16724.9349,17034.20068,7087.378086,9051.130022,8461.931779,13427.7963,14769.00611,1754.829579,14314.49693,21095.06922,21463.56654,19859.55897,10700.37237
>sp|Q96RE7|NACC1_HUMAN Nucleus accumbens-associated protein 1 OS=Homo sapiens GN=NACC1 PE=1 SV=1,human,dia,179475.2891,185734.7701,159929.0704,129984.0707,160245.9277,170360.2501,117579.4324,147223.7248,151071.5182,125870.0499,158782.3505,167830.4362,131425.6741,138165.5052,175365.3622,187158.5037
">sp|Q96RP9|EFGM_HUMAN Elongation factor G, mitochondrial OS=Homo sapiens GN=GFM1 PE=1 SV=2",human,dia,710808.4767,668993.6944,738953.4585,903312.5539,698173.8639,590341.2107,818227.0449,643000.1908,869917.3683,884174.9102,789055.098,910058.2557,750508.2874,682118.1209,754613.7357,758533.8542
>sp|Q96RQ1|ERGI2_HUMAN Endoplasmic reticulum-Golgi intermediate compartment protein 2 OS=Homo sapiens GN=ERGIC2 PE=1 SV=2,human,dia,24941.21875,35650.95501,40897.59192,54430.91866,34264.17412,58698.53119,47811.78722,43481.22671,50371.08275,25643.19403,30438.21617,26907.22793,58331.1658,46687.25596,40265.00225,37930.55312
">sp|Q96RQ3|MCCA_HUMAN Methylcrotonoyl-CoA carboxylase subunit alpha, mitochondrial OS=Homo sapiens GN=MCCC1 PE=1 SV=3",human,dia,88545.44531,61189.4135,49252.37052,80521.53773,63920.59014,78841.89913,54650.15273,82317.94777,52243.75421,88669.27408,57941.22156,69984.54342,53766.61908,53267.85435,67889.94237,63168.82482
>sp|Q96RS6|NUDC1_HUMAN NudC domain-containing protein 1 OS=Homo sapiens GN=NUDCD1 PE=1 SV=2,human,dia,707215.9385,749245.9491,595594.5602,761464.1558,741832.7924,614307.0931,696050.5293,749042.6627,646993.4363,700155.4986,673849.773,556483.3916,590805.9003,706706.5771,818227.9598,578294.9058
>sp|Q96S52|PIGS_HUMAN GPI transamidase component PIG-S OS=Homo sapiens GN=PIGS PE=1 SV=3,human,dia,180534.8594,209616.681,164158.884,191571.603,251054.2469,158750.7595,163473.0346,160408.8177,129513.0159,190010.9071,116854.1903,137043.5587,190810.353,259372.3075,106135.4104,252729.1712
>sp|Q96SI9|STRBP_HUMAN Spermatid perinuclear RNA-binding protein OS=Homo sapiens GN=STRBP PE=1 SV=1,human,dia,83467.26953,74116.90295,99627.14772,63957.41787,28134.56594,38043.52821,45852.92911,35777.46779,64093.84415,70940.88717,73101.26864,69489.60522,66488.16052,67218.08498,55745.51618,62659.4398
>sp|Q96ST3|SIN3A_HUMAN Paired amphipathic helix protein Sin3a OS=Homo sapiens GN=SIN3A PE=1 SV=2,human,dia,158383.8711,138313.2396,127485.0493,142036.6403,118252.0283,136379.3936,112256.6874,120077.3373,160672.7288,103560.4724,150358.0372,113329.534,149278.9276,134139.2208,145634.8888,147106.289
>sp|Q96SU4|OSBL9_HUMAN Oxysterol-binding protein-related protein 9 OS=Homo sapiens GN=OSBPL9 PE=1 SV=2,human,dia,217537.3281,199721.0052,228615.3917,121490.3392,123872.7914,249028.6365,158968.1317,169300.9644,140315.6117,203471.1416,173978.6534,227096.7209,156492.5973,150860.9504,176992.857,195986.8547
>sp|Q96SY0|INT14_HUMAN Integrator complex subunit 14 OS=Homo sapiens GN=INTS14 PE=1 SV=2,human,dia,30352.67969,17796.34748,28207.8798,21133.77132,26339.14176,26321.61962,12953.68713,24573.12584,24753.55966,8703.195757,17539.65504,20502.5469,14504.10059,13253.37543,17669.27241,18347.92769
>sp|Q96T37|RBM15_HUMAN Putative RNA-binding protein 15 OS=Homo sapiens GN=RBM15 PE=1 SV=2,human,dia,145460.8789,40426.14921,80139.07763,322749.9942,255423.2571,88458.47009,250978.7213,139472.4885,381422.713,147698.5063,228593.194,410659.2832,493514.2008,403824.1813,350895.59,100898.418
>sp|Q96T76|MMS19_HUMAN MMS19 nucleotide excision repair protein homolog OS=Homo sapiens GN=MMS19 PE=1 SV=2,human,dia,325858.4453,548820.4436,357003.0704,2202101.023,347587.6814,326641.5152,352010.9726,342838.4205,1531130.463,1633650.382,352879.1177,436569.8702,381629.3974,2044211.798,1952911.264,1812495.525
>sp|Q96TA1|NIBL1_HUMAN Niban-like protein 1 OS=Homo sapiens GN=FAM129B PE=1 SV=3,human,dia,145506.9063,158804.7592,211436.7085,147805.5359,176325.0681,200078.4031,132985.2485,159162.8971,192933.1797,161673.4861,179684.0155,165873.7094,200092.518,173168.4579,152666.36,166254.6713
>sp|Q96TA2|YMEL1_HUMAN ATP-dependent zinc metalloprotease YME1L1 OS=Homo sapiens GN=YME1L1 PE=1 SV=2,human,dia,55036.40234,118487.5294,87486.19214,90419.40305,123195.292,120878.5748,79832.28245,60870.82064,93621.4356,89940.21898,71498.15344,94310.44188,105856.7266,132911.7973,71867.88382,139837.2
>sp|Q96TC7|RMD3_HUMAN Regulator of microtubule dynamics protein 3 OS=Homo sapiens GN=RMDN3 PE=1 SV=2,human,dia,375842.8673,348416.5852,393408.7878,331426.0263,256422.9045,493137.348,297929.8054,357408.6101,340816.4731,394291.5106,323283.2705,357917.1131,338325.5271,298643.2101,321179.0704,325627.0042
>sp|Q99417|MYCBP_HUMAN c-Myc-binding protein OS=Homo sapiens GN=MYCBP PE=1 SV=3,human,dia,112346.5059,91131.27549,141590.249,87462.60806,82364.46567,90638.57501,74270.53611,125060.3967,78913.73891,89861.62202,99298.71682,86119.42972,66314.35733,56896.02226,76244.23102,129175.4158
>sp|Q99426|TBCB_HUMAN Tubulin-folding cofactor B OS=Homo sapiens GN=TBCB PE=1 SV=2,human,dia,174444.4961,173160.4879,153710.5474,116306.1706,142873.1281,134695.0261,180684.435,133900.7093,127416.7615,152774.9617,115602.9058,165425.4993,154404.7681,217789.1999,148376.8004,186254.0552
>sp|Q99436|PSB7_HUMAN Proteasome subunit beta type-7 OS=Homo sapiens GN=PSMB7 PE=1 SV=1,human,dia,606649.9258,529779.4603,399440.1116,606327.3622,654233.2992,549801.699,472299.105,350863.4202,619907.3477,574291.3869,432767.6266,456162.7654,778367.8622,532331.8123,471793.6756,595167.3575
>sp|Q99439|CNN2_HUMAN Calponin-2 OS=Homo sapiens GN=CNN2 PE=1 SV=4,human,dia,287611.6641,266190.9611,340741.5158,288559.5298,350872.4554,336986.6665,346679.4022,295031.2389,283682.3965,309633.4785,398260.903,393920.0643,258683.9005,309866.8209,272707.4817,345090.0189
>sp|Q99459|CDC5L_HUMAN Cell division cycle 5-like protein OS=Homo sapiens GN=CDC5L PE=1 SV=2,human,dia,369668.2052,328330.4115,360783.1398,199385.4423,329653.0346,305486.1538,373317.5602,377892.3211,317518.1843,277642.8306,271760.3912,286388.1018,281508.8505,310315.8176,326259.5291,410681.2424
>sp|Q99460|PSMD1_HUMAN 26S proteasome non-ATPase regulatory subunit 1 OS=Homo sapiens GN=PSMD1 PE=1 SV=2,human,dia,1408767.416,1506902.166,1570276.731,1552762.662,1635882.841,1518376.912,1827761.407,1788471.297,1434859.684,1483964.759,1560746.892,1652185.802,1592171.958,1471929.095,1444897.987,1678740.112
>sp|Q99471|PFD5_HUMAN Prefoldin subunit 5 OS=Homo sapiens GN=PFDN5 PE=1 SV=2,human,dia,358178.8985,308043.8118,369254.1669,308666.377,331973.3955,334728.8615,360829.2834,419319.8929,410892.3548,345146.2583,344150.0451,391980.8178,336180.1787,313365.3903,329736.6826,268428.147
>sp|Q99497|PARK7_HUMAN Protein/nucleic acid deglycase DJ-1 OS=Homo sapiens GN=PARK7 PE=1 SV=2,human,dia,3830796.248,3989748.385,3970971.837,3821899.515,3961388.18,4069224.046,4242527.119,3651708.347,3671298.949,4085399.956,3870942.325,3593240.164,3415697.574,4064002.207,3610454.648,3274689.232
>sp|Q99536|VAT1_HUMAN Synaptic vesicle membrane protein VAT-1 homolog OS=Homo sapiens GN=VAT1 PE=1 SV=2,human,dia,622583.7032,673909.3917,706515.6624,651981.5199,920659.3478,699559.8807,726654.6901,594626.0371,578921.2561,817028.3704,709476.149,793291.5198,677515.6965,728766.6817,578769.9938,877422.1679
>sp|Q99538|LGMN_HUMAN Legumain OS=Homo sapiens GN=LGMN PE=1 SV=1,human,dia,119897.3203,97755.67977,57029.32843,112274.7078,122206.1706,91896.19872,91163.9332,134035.0322,113069.3947,107084.8164,114886.4373,121994.3857,127545.5821,96975.19956,69647.32386,144568.4976
>sp|Q99543|DNJC2_HUMAN DnaJ homolog subfamily C member 2 OS=Homo sapiens GN=DNAJC2 PE=1 SV=4,human,dia,84113.89453,127322.4066,90764.61819,98062.69406,112770.3173,108926.1306,126543.3409,123915.1462,90423.81325,96375.5567,97948.10649,102016.8307,78540.83564,84023.67424,65219.72915,128871.8824
>sp|Q99584|S10AD_HUMAN Protein S100-A13 OS=Homo sapiens GN=S100A13 PE=1 SV=1,human,dia,1737164.09,2192070.668,1956702.583,2035694.312,1609292.726,1669726.733,1253475.987,1636989.517,1891882.46,1571969.126,1146620.497,1428318.224,1828033.972,1836371.737,1887220.379,1643031.874
>sp|Q99598|TSNAX_HUMAN Translin-associated protein X OS=Homo sapiens GN=TSNAX PE=1 SV=1,human,dia,161364.875,154079.4399,212340.8808,182136.6789,137056.8451,152591.0736,141210.7028,43424.55927,205444.6828,182010.3519,221510.9972,216198.2818,220639.7176,168201.9895,194227.3095,176810.487
>sp|Q99615|DNJC7_HUMAN DnaJ homolog subfamily C member 7 OS=Homo sapiens GN=DNAJC7 PE=1 SV=2,human,dia,124423.8223,210203.5117,209897.6432,159510.1668,99982.36814,152461.4732,107335.9961,92634.57411,42775.14044,84170.80467,167890.4967,127906.72,160227.8019,185687.0603,163261.3978,171428.0003
>sp|Q99622|C10_HUMAN Protein C10 OS=Homo sapiens GN=C12orf57 PE=1 SV=1,human,dia,33967.18359,43435.5447,42281.08196,44755.86034,64534.21108,43681.31771,42191.6321,70360.86746,83477.07662,54565.19991,70291.1503,56555.75185,72554.60251,32126.1571,22280.48492,67100.11639
>sp|Q99623|PHB2_HUMAN Prohibitin-2 OS=Homo sapiens GN=PHB2 PE=1 SV=2,human,dia,7973068.399,8778373.911,8794289.823,9242104.778,8219473.172,8282788.38,9130050.621,9391080.696,7826635.263,8765453.24,8248891.948,7885086.419,8021317.126,8389842.027,7852705.795,8000212.531
>sp|Q99627|CSN8_HUMAN COP9 signalosome complex subunit 8 OS=Homo sapiens GN=COPS8 PE=1 SV=1,human,dia,97054.82813,92810.89423,118791.5422,86843.28309,88120.34055,106494.1215,94157.58569,69577.83498,106043.0807,100543.4382,103276.2323,90869.4444,95068.59252,117927.5162,77623.72017,92538.18198
>sp|Q99653|CHP1_HUMAN Calcineurin B homologous protein 1 OS=Homo sapiens GN=CHP1 PE=1 SV=3,human,dia,85551.13281,60469.5459,68366.99225,85249.50419,75458.12362,90218.83995,85193.74534,120135.7506,52182.90185,73791.67957,76167.46994,81827.68182,116851.1625,60380.00707,53888.95745,84677.70737
>sp|Q99714|HCD2_HUMAN 3-hydroxyacyl-CoA dehydrogenase type-2 OS=Homo sapiens GN=HSD17B10 PE=1 SV=3,human,dia,4267617.871,3528179.259,4235827.751,4288230.379,4300201.575,5340239.734,4991735.857,4183097.343,3684795.318,4440396.737,4898341.352,4281393.515,4394129.944,4106823.214,3422013.766,5169195.138
>sp|Q99729|ROAA_HUMAN Heterogeneous nuclear ribonucleoprotein A/B OS=Homo sapiens GN=HNRNPAB PE=1 SV=2,human,dia,2282660.262,2366156.26,2307414.609,2280969.158,2031174.439,2124053.638,1694083.369,2415159.384,1676902.983,1861825.132,2499477.395,2085621.248,1552116.492,1548896.09,1741285.753,2176472.079
>sp|Q99733|NP1L4_HUMAN Nucleosome assembly protein 1-like 4 OS=Homo sapiens GN=NAP1L4 PE=1 SV=1,human,dia,1050256.4,859437.319,1124198.963,1023393.326,1214316.169,1350993.147,1410454.908,1187169.917,1353781.036,1256061.907,1195860.549,1409069.814,1334285.582,1482633.695,1398364.248,1297545.27
">sp|Q99757|THIOM_HUMAN Thioredoxin, mitochondrial OS=Homo sapiens GN=TXN2 PE=1 SV=2",human,dia,226038.7344,158487.809,301393.0008,136404.1529,210814.4996,115141.1518,30723.28856,158806.0241,203682.0808,184393.5415,214061.4624,77451.49372,239643.5873,182034.576,158736.7682,194034.3041
">sp|Q99798|ACON_HUMAN Aconitate hydratase, mitochondrial OS=Homo sapiens GN=ACO2 PE=1 SV=2",human,dia,4258531.034,3471276.185,3858308.411,3750325.084,3894393.795,3974460.48,3924352.206,3945964.745,4020778.572,4186007.032,4133275.519,4294206.786,3729867.924,4087748.226,3951700.97,4203808.127
>sp|Q99805|TM9S2_HUMAN Transmembrane 9 superfamily member 2 OS=Homo sapiens GN=TM9SF2 PE=1 SV=1,human,dia,295009.6328,207063.825,259996.2317,254985.805,225614.2563,280909.2099,281702.7759,266839.1187,269587.18,341037.6199,268982.882,334267.2791,261971.3218,216883.4885,191719.1939,218905.8772
>sp|Q99808|S29A1_HUMAN Equilibrative nucleoside transporter 1 OS=Homo sapiens GN=SLC29A1 PE=1 SV=3,human,dia,63011.95507,67312.85725,83690.93915,93237.25462,76555.99226,81103.05745,58394.06286,103606.1165,69899.02688,99136.5664,66040.64763,66285.25357,86765.57091,125152.0939,71855.52648,86845.44727
>sp|Q99829|CPNE1_HUMAN Copine-1 OS=Homo sapiens GN=CPNE1 PE=1 SV=1,human,dia,208822.2656,240378.586,195614.242,200346.6759,206852.9861,220008.5526,153177.7318,174874.7005,188701.6612,176721.953,220855.5008,206924.4582,203798.2376,214833.9085,243664.7772,168026.1022
>sp|Q99832|TCPH_HUMAN T-complex protein 1 subunit eta OS=Homo sapiens GN=CCT7 PE=1 SV=2,human,dia,8592538.478,8122601.736,8501191.51,7659829.216,7600900.045,9151939.597,7319139.503,7645412.915,7970919.898,8776719.823,8515780.69,8932363.841,8504270.635,8013540.086,7946618.797,8266407.808
>sp|Q99848|EBP2_HUMAN Probable rRNA-processing protein EBP2 OS=Homo sapiens GN=EBNA1BP2 PE=1 SV=2,human,dia,457498.3613,576216.0696,517801.2371,516226.8545,518885.835,487389.2486,463976.6475,510582.8145,580559.8539,573477.3794,514133.1121,622632.6338,691241.2924,564402.7245,554069.4609,536209.9272
>sp|Q99873|ANM1_HUMAN Protein arginine N-methyltransferase 1 OS=Homo sapiens GN=PRMT1 PE=1 SV=2,human,dia,4118916.875,3818144.518,3371968.53,3763400.004,3456585.703,3939505.704,3788363.166,3443860.995,3962835.55,4159743.105,3813189.614,3195235.301,3511832.71,3589461.879,3114978.822,3531708.627
>sp|Q99961|SH3G1_HUMAN Endophilin-A2 OS=Homo sapiens GN=SH3GL1 PE=1 SV=1,human,dia,26667.95313,85450.08988,54523.37613,77216.83688,83517.21234,78828.25176,65579.69293,87959.81669,83519.1545,73862.83482,57471.29951,58159.09435,76299.97842,73112.0008,80664.51333,59760.54064
